,Dist. STATE,Account ID,City,OnOff Premises,Classes of Trade,Siempre Plata,Siempre Reposado,Siempre Anejo,Siempre Supremo,Siempre Rebel Cask,Siempre Exclusivo Vivo,Total Cases,Did Buys,# Purchases,# Months Purchased,Rate of Sale: Units / Month,Ave Unit Price,Cluster
158,GA,18045,ROSWELL,OFF,LIQUOR/PACKAGE STORE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2,2,0.166666667,183.57,0.0
159,GA,79193,CUMMING,OFF,LIQUOR/PACKAGE STORE,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1,3,3,0.25,191.27,0.0
160,GA,14982,MARIETTA,OFF,LIQUOR/PACKAGE STORE,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1,1,1,0.25,191.27,0.0
161,GA,28296,CONYERS,OFF,LIQUOR/PACKAGE STORE,2.0,1.5,1.0,0.0,0.0,0.0,4.5,1,5,4,0.375,223.8744,0.0
162,GA,69897,ROSWELL,OFF,LIQUOR/PACKAGE STORE,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1,3,3,0.25,191.27,0.0
163,GA,88029,ATLANTA,OFF,LIQUOR/PACKAGE STORE,2.0,4.0,0.0,0.0,0.0,1.0,7.0,1,6,6,0.583333333,256.11,0.0
164,GA,91737,COLUMBUS,OFF,LIQUOR/PACKAGE STORE,1.833333,0.833333,0.5,0.0,0.0,0.0,3.166666,1,6,4,0.263888833,211.5126445,0.0
165,GA,12514,DECATUR,ON,RESTAURANT,1.666668,1.833334,0.500001,0.0,0.0,0.0,4.000003,1,6,5,0.333333583,156.7423824,1.0
166,GA,18802,ALPHARETTA,ON,RESTAURANT,1.666667,0.0,0.0,0.0,0.0,0.0,1.666667,1,3,3,0.138888917,143.1599714,1.0
167,GA,38604,JACKSON,OFF,LIQUOR/PACKAGE STORE,1.666666,1.333333,0.333333,0.0,0.0,0.0,3.333332,1,3,3,0.277777667,191.2630965,0.0
168,GA,33009,LAGRANGE,OFF,LIQUOR/PACKAGE STORE,1.5,0.0,0.0,0.0,0.0,0.0,1.5,1,2,2,0.125,183.57,0.0
